City,State,2008 millions,2009 millions,2010 millions,2011 millions,2012 millions,2013 millions,2009 percent change,2010 percent change,2011 percent change,2012 percent change,2013 percent change,percent change rank 2013
Longview,WA,3199,3068,3136,3090,3200,3279,-4.1,2.2,-1.5,3.6,2.5,120
Los Angeles-Long Beach-Anaheim,CA,786211,748002,747663,752826,766654,775967,-4.9,0,0.7,1.8,1.2,204
Louisville/Jefferson County,KY-IN,58104,55187,57819,58886,60725,60649,-5,4.8,1.8,3.1,-0.1,300
Lubbock,TX,9789,9770,10152,9889,10459,10992,-0.2,3.9,-2.6,5.8,5.1,31
Lynchburg,VA,8422,8259,8540,8381,8347,8313,-1.9,3.4,-1.9,-0.4,-0.4,313
Macon,GA,8049,7786,7790,7858,7801,8002,-3.3,0.1,0.9,-0.7,2.6,113
Madera,CA,3674,3466,3695,3846,3972,4291,-5.7,6.6,4.1,3.3,8,7
Madison,WI,35649,35910,37254,38218,38891,40186,0.7,3.7,2.6,1.8,3.3,78
Manchester-Nashua,NH,21868,21522,21341,22317,22284,22456,-1.6,-0.8,4.6,-0.1,0.8,234
Manhattan,KS,2832,2771,2799,2867,2883,2840,-2.2,1,2.4,0.6,-1.5,354
Mankato-North Mankato,MN,3846,3645,3843,3985,4118,4151,-5.2,5.4,3.7,3.3,0.8,233
Mansfield,OH,4064,3488,3587,3657,3686,3695,-14.2,2.8,2,0.8,0.3,272
McAllen-Edinburg-Mission,TX,13748,13924,14401,14704,15324,15777,1.3,3.4,2.1,4.2,3,95
Medford,OR,6378,6092,5972,5903,6135,6368,-4.5,-2,-1.2,3.9,3.8,61
Memphis,TN-MS-AR,64390,61682,61731,61885,63160,63081,-4.2,0.1,0.2,2.1,-0.1,299
Merced,CA,6160,6034,6004,6046,6217,6498,-2,-0.5,0.7,2.8,4.5,42
Miami-Fort Lauderdale-West Palm Beach,FL,269478,247947,247743,249165,256900,263115,-8,-0.1,0.6,3.1,2.4,125
Michigan City-La Porte,IN,3607,3355,3507,3510,3489,3571,-7,4.5,0.1,-0.6,2.4,131
Midland,MI,3631,3574,3696,3723,3605,3604,-1.6,3.4,0.7,-3.2,0,294
Midland,TX,10693,13252,13194,15657,19013,20255,23.9,-0.4,18.7,21.4,6.5,18
Milwaukee-Waukesha-West Allis,WI,87675,85405,86813,88475,88572,89052,-2.6,1.6,1.9,0.1,0.5,254
Minneapolis-St. Paul-Bloomington,MN-WI,200417,192686,198548,205117,208340,213466,-3.9,3,3.3,1.6,2.5,121
Missoula,MT,4423,4416,4400,4378,4484,4323,-0.2,-0.4,-0.5,2.4,-3.6,377
Mobile,AL,16022,16321,16443,16519,16602,17085,1.9,0.7,0.5,0.5,2.9,98
Modesto,CA,15483,15374,15606,15711,15781,16284,-0.7,1.5,0.7,0.4,3.2,90
Monroe,LA,6146,6185,6391,6189,6329,6439,0.6,3.3,-3.2,2.3,1.7,172
Monroe,MI,4069,3684,3926,3957,4042,4264,-9.5,6.6,0.8,2.2,5.5,27
Montgomery,AL,15575,15109,15289,15398,15449,15489,-3,1.2,0.7,0.3,0.3,273
Morgantown,WV,5572,5953,6340,6171,6316,6589,6.8,6.5,-2.7,2.3,4.3,46
Morristown,TN,3329,3074,3309,3337,3457,3451,-7.7,7.6,0.8,3.6,-0.2,305
Mount Vernon-Anacortes,WA,4794,4928,4912,4123,4026,4453,2.8,-0.3,-16.1,-2.3,10.6,1
Muncie,IN,3469,3252,3324,3328,3453,3481,-6.2,2.2,0.1,3.7,0.8,232
Muskegon,MI,4665,4487,4704,4812,4887,5010,-3.8,4.8,2.3,1.5,2.5,117
Myrtle Beach-Conway-North Myrtle Beach,SC-NC,13863,13292,13446,13842,14005,14221,-4.1,1.2,2.9,1.2,1.5,185
Napa,CA,7588,7341,7034,7069,7217,7546,-3.3,-4.2,0.5,2.1,4.5,39
Naples-Immokalee-Marco Island,FL,13626,12078,12241,12256,12459,13326,-11.4,1.4,0.1,1.7,7,13
Nashville-Davidson--Murfreesboro--Franklin,TN,84241,81602,84572,88170,93360,95124,-3.1,3.6,4.3,5.9,1.9,164
New Bern,NC,4495,4661,4589,4484,4649,4639,3.7,-1.5,-2.3,3.7,-0.2,308
New Haven-Milford,CT,43202,40921,40899,40397,40830,41461,-5.3,-0.1,-1.2,1.1,1.5,184
New Orleans-Metairie,LA,67080,69445,73312,68940,69997,70665,3.5,5.6,-6,1.5,1,222
New York-Newark-Jersey City,NY-NJ-PA,1296414,1291817,1322885,1336038,1364872,1377989,-0.4,2.4,1,2.2,1,220
Niles-Benton Harbor,MI,5826,5586,5932,5707,5574,5827,-4.1,6.2,-3.8,-2.3,4.5,40
North Port-Sarasota-Bradenton,FL,25113,23531,23157,23149,23321,24358,-6.3,-1.6,0,0.7,4.4,44
Norwich-New London,CT,17982,16115,15816,14725,14449,14409,-10.4,-1.9,-6.9,-1.9,-0.3,310
Ocala,FL,7756,6946,6882,6797,6803,6960,-10.5,-0.9,-1.2,0.1,2.3,134
Ocean City,NJ,4263,4268,4238,4295,4279,4307,0.1,-0.7,1.4,-0.4,0.7,243
